SRR2040797	Austria_2n
SRR2040798	Chechia_2n
SRR2040804	CESiberia_2n
SRR2040805_4n	PUWS_4n
SRR2040806	selfer
SRR2040826_4n	Austria_4n
SRR2040827_4n	Austria_4n
SRR2040828_4n	Austria_4n
SRR2040830_4n	Austria_4n
SRR2082718	Capsella_rubella
SRR3111439	Germany_2n
SRR3111440	Austria_2n
SRR3111441	Austria_2n
SRR3111442	Chechia_2n
SRR3111443	Chechia_2n
SRR3111448_4n	Chechia_4n
SRR5124974	Karelia_2n
SRR5124975	Germany_2n
SRR5124976	UKScandinavia_2n
SRR5124977	UKScandinavia_2n
SRR5124978	UKScandinavia_2n
SRR5124979	NA_2n
SRR5124980	Karelia_2n
SRR5124981	NA_2n
SRR5124982	UKScandinavia_2n
SRR5124983	UKScandinavia_2n
SRR5124984	Germany_2n
SRR5124985	UKScandinavia_2n
SRR5124986	Germany_2n
SRR5124987	UKScandinavia_2n
SRR5124988	UKScandinavia_2n
SRR5124989	Germany_2n
SRR5124990	Germany_2n
SRR5124991	NA_2n
SRR5124992	NA_2n
SRR5124993	Karelia_2n
SRR5124994	NA_2n
SRR5124995	UKScandinavia_2n
SRR5124996	UKScandinavia_2n
SRR5124997	UKScandinavia_2n
SRR5124998	UKScandinavia_2n
SRR5124999	UKScandinavia_2n
SRR5125000	NA_2n
SRR5125001	Karelia_2n
SRR5125002	UKScandinavia_2n
SRR5125003	Germany_2n
SRR7119523	UKScandinavia_2n
SRR7119524	UKScandinavia_2n
SRR7119525	UKScandinavia_2n
SRR7119526	UKScandinavia_2n
SRR7119527	UKScandinavia_2n
SRR7119528	UKScandinavia_2n
SRR7119529	UKScandinavia_2n
SRR7119530	UKScandinavia_2n
SRR7119531	UKScandinavia_2n
SRR7119532	UKScandinavia_2n
SRR7119533	UKScandinavia_2n
SRR7119534	UKScandinavia_2n
SRR7119535	UKScandinavia_2n
SRR7119536	UKScandinavia_2n
SRR7119537	UKScandinavia_2n
SRR7119539	UKScandinavia_2n
SRR7119540	UKScandinavia_2n
SRR7119541	UKScandinavia_2n
SRR7119542	UKScandinavia_2n
SRR7119543	UKScandinavia_2n
SRR7119544	UKScandinavia_2n
SRR7119545	UKScandinavia_2n
SRR7119546	UKScandinavia_2n
SRR7119547	UKScandinavia_2n
SRR7119548	UKScandinavia_2n
SRR9319641	UKScandinavia_2n
SRR9319642	UKScandinavia_2n
SRR9319643	UKScandinavia_2n
SRR9319644	UKScandinavia_2n
SRR9319645	UKScandinavia_2n
SRR9319646	UKScandinavia_2n
SRR9319647	UKScandinavia_2n
SRR9319648	UKScandinavia_2n
SRR9319649	UKScandinavia_2n
TE_10.1-1	LE_2n
TE_10.1-2	LE_2n
TE_10.2-1	LE_2n
TE_10.2-2	LE_2n
TE_10.3-1	LE_2n
TE_10.3-2	LE_2n
TE_10.4-1	LE_2n
TE_10.4-2	LE_2n
TE_10.5-1	LE_2n
TE_10.5-2	LE_2n
TE_10.6-1	LE_2n
TE_10.6-2	LE_2n
TE_10.7-1	LE_2n
TE_10.7-2	LE_2n
TE_10.8-1	LE_2n
TE_10.8-2	LE_2n
TE_10.9-1	LE_2n
TE_10.9-2	LE_2n
TE_11.1-1	LE_2n
TE_11.1-2	LE_2n
TE_11.10-1	LE_2n
TE_11.10-2	LE_2n
TE_11.2-1	LE_2n
TE_11.2-2	LE_2n
TE_11.3-1	LE_2n
TE_11.3-2	LE_2n
TE_11.4-1	LE_2n
TE_11.4-2	LE_2n
TE_11.5-1	LE_2n
TE_11.5-2	LE_2n
TE_11.6-1	LE_2n
TE_11.6-2	LE_2n
TE_11.7-1	LE_2n
TE_11.7-2	LE_2n
TE_11.8-1	LE_2n
TE_11.8-2	LE_2n
TE_11.9-1	LE_2n
TE_11.9-2	LE_2n
TE_3.1-1	LE_2n
TE_3.1-2	LE_2n
TE_3.2-1	LE_2n
TE_3.2-2	LE_2n
TE_3.3-1	LE_2n
TE_3.3-2	LE_2n
TE_3.4-1	LE_2n
TE_3.4-2	LE_2n
TE_3.5-1	LE_2n
TE_3.5-2	LE_2n
TE_3.6-1	LE_2n
TE_3.6-2	LE_2n
TE_3.7-1	LE_2n
TE_3.7-2	LE_2n
TE_3.8-1	LE_2n
TE_3.8-2	LE_2n
TE_3.9-1	LE_2n
TE_3.9-2	LE_2n
TE_4.10-1	LE_2n
TE_4.10-2	LE_2n
TE_4.11-1	LE_2n
TE_4.11-2	LE_2n
TE_4.2-1	LE_2n
TE_4.2-2	LE_2n
TE_4.3-1	LE_2n
TE_4.3-2	LE_2n
TE_4.4-1	LE_2n
TE_4.4-2	LE_2n
TE_4.5-1	LE_2n
TE_4.5-2	LE_2n
TE_4.6-1	LE_2n
TE_4.6-2	LE_2n
TE_4.7-1	LE_2n
TE_4.8-1	LE_2n
TE_4.8-2	LE_2n
TE_4.9-1	LE_2n
TE_4.9-2	LE_2n
TE_5.1-1	LE_2n
TE_5.1-2	LE_2n
TE_5.10-1	LE_2n
TE_5.10-2	LE_2n
TE_5.2-1	LE_2n
TE_5.2-2	LE_2n
TE_5.3-1	LE_2n
TE_5.3-2	LE_2n
TE_5.4-1	LE_2n
TE_5.4-2	LE_2n
TE_5.5-1	LE_2n
TE_5.5-2	LE_2n
TE_5.6-1	LE_2n
TE_5.6-2	LE_2n
TE_5.7-1	LE_2n
TE_5.7-2	LE_2n
TE_5.8-1	LE_2n
TE_5.8-2	LE_2n
TE_5.9-1	LE_2n
TE_5.9-2	LE_2n
TE_6.1-1	LE_2n
TE_6.1-2	LE_2n
TE_6.2-1	LE_2n
TE_6.2-2	LE_2n
TE_7.1-1	LE_2n
TE_7.1-2	LE_2n
TE_7.2-1	LE_2n
TE_7.2-2	LE_2n
TE_7.3-1	LE_2n
TE_7.3-2	LE_2n
